X;Y;X;Y;X;Y;X;Y
156,875;0,0125;;;;;;
157,5;0,0031;;;;;;
158,125;0,0069;;;;;;
158,75;0,0084;;;;;;
159,375;0,004;;;;;;
160;0,0044;;;;;;
160,625;0,0048;;;;;;
161,25;0,0025;;;;;;
161,875;0,002;;;;;;
162,5;0,0003;;;;;;
163,125;0,0013;;;;;;
163,75;0,0015;;;;;;
164,375;0,0031;;;;;;
165;0,0035;;;;;;
165,625;0,0072;;;;;;
166,25;0,0064;;;;;;
166,875;0,012;;;;;;
167,5;0,0063;;;;;;
168,125;0,0069;;;;;;
168,75;0,0106;;;;;;
169,375;0,0057;;;;;;
170;0,0079;;;;;;
170,625;0,0068;;;;;;
171,25;0,0016;;;;;;
171,875;0,0029;;;;;;
172,5;0,0038;;;;;;
173,125;0,0062;;;;;;
173,75;0,0078;;;;;;
174,375;0,0058;;;;;;
175;0,0051;;;;;;
175,625;0,0306;;;;;;
176,25;0,0482;;;;;;
176,875;0,019;;;;;;
177,5;0,0036;;;;;;
178,125;0,0057;;;;;;
178,75;0,0072;;;;;;
179,375;0,0033;;;;;;
180;0,0048;;;;;;
180,625;0,0069;;;;;;
181,25;0,0046;;;;;;
181,875;0,0033;;;;;;
182,5;0,002;;;;;;
183,125;0,009;;;;;;
183,75;0,0105;;;;;;
184,375;0,0065;;;;;;
185;0,0064;;;;;;
185,625;0,0015;;;;;;
186,25;0,004;;;;;;
186,875;0,0037;;;;;;
187,5;0,0031;;;;;;
188,125;0,0039;;;;;;
188,75;0,0044;;;;;;
189,375;0,0029;;;;;;
190;0,0035;;;;;;
190,625;0,0017;;;;;;
191,25;0,0009;;;;;;
191,875;0,0007;;;;;;
192,5;0,0011;;;;;;
193,125;0,0036;;;;;;
193,75;0,0085;;;;;;
194,375;0,0077;;;;;;
195;0,0041;;;;;;
195,625;0,0019;;;;;;
196,25;0,0023;;;;;;
196,875;0,002;;;;;;
197,5;0,0028;;;;;;
198,125;0,0021;;;;;;
198,75;0,0008;;;;;;
199,375;0,0018;;;;;;
200;0,0024;;;;;;
200,625;0,0064;;;;;;
201,25;0,0173;;;;;;
201,875;0,0103;;;;;;
202,5;0,0014;;;;;;
203,125;0,0009;;;;;;
203,75;0,0068;;;;;;
204,375;0,0041;;;;;;
205;0,0021;;;;;;
205,625;0,0045;;;;;;
206,25;0,0064;;;;;;
206,875;0,0034;;;;;;
207,5;0,0027;;;;;;
208,125;0,0047;;;;;;
208,75;0,0061;;;;;;
209,375;0,006;;;;;;
210;0,002;;;;;;
210,625;0,0035;;;;;;
211,25;0,0039;;;;;;
211,875;0,0031;;;;;;
212,5;0,0042;;;;;;
213,125;0,0043;;;;;;
213,75;0,0015;;;;;;
214,375;0,0009;;;;;;
215;0,0018;;;;;;
215,625;0,004;;;;;;
216,25;0,002;;;;;;
216,875;0,0004;;;;;;
217,5;0,0021;;;;;;
218,125;0,004;;;;;;
218,75;0,0022;;;;;;
219,375;0,0025;;;;;;
220;0,0019;;;;;;
220,625;0,0011;;;;;;
221,25;0,005;;;;;;
221,875;0,0053;;;;;;
222,5;0,0007;;;;;;
223,125;0,0022;;;;;;
223,75;0,0111;;;;;;
224,375;0,0114;;;;;;
225;0,0072;;;;;;
225,625;0,0055;;;;;;
226,25;0,0244;;;;;;
226,875;0,0211;;;;;;
227,5;0,0048;;;;;;
228,125;0,0017;;;;;;
228,75;0,0026;;;;;;
229,375;0,0037;;;;;;
230;0,0031;;;;;;
230,625;0,0044;;;;;;
231,25;0,0078;;;;;;
231,875;0,0099;;;;;;
232,5;0,0089;;;;;;
233,125;0,0043;;;;;;
233,75;0,0022;;;;;;
234,375;0,0049;;;;;;
235;0,0109;;;;;;
235,625;0,0077;;;;;;
236,25;0,008;;;;;;
236,875;0,0065;;;;;;
237,5;0,008;;;;;;
238,125;0,0057;;;;;;
238,75;0,0011;;;;;;
239,375;0,0031;;;;;;
240;0,0023;;;;;;
240,625;0,0058;;;;;;
241,25;0,0053;;;;;;
241,875;0,0029;;;;;;
242,5;0,0059;;;;;;
243,125;0,0073;;;;;;
243,75;0,0102;;;;;;
244,375;0,0166;;;;;;
245;0,011;;;;;;
245,625;0,0048;;;;;;
246,25;0,0043;;;;;;
246,875;0,0086;;;;;;
247,5;0,0036;;;;;;
248,125;0,0054;;;;;;
248,75;0,0092;;;;;;
249,375;0,0111;;;;;;
250;0,0056;;;;;;
250,625;0,0106;;;;;;
251,25;0,0376;;;;;;
251,875;0,0406;;;;;;
252,5;0,0114;;;;;;
253,125;0,0036;;;;;;
253,75;0,0025;;;;;;
254,375;0,0089;;;;;;
255;0,0031;;;;;;
255,625;0,0026;;;;;;
256,25;0,0103;;;;;;
256,875;0,0114;;;;;;
257,5;0,0056;;;;;;
258,125;0,0018;;;;;;
258,75;0,0047;;;;;;
259,375;0,0051;;;;;;
260;0,0024;;;;;;
260,625;0,0078;;;;;;
261,25;0,0048;;;;;;
261,875;0,0054;;;;;;
262,5;0,0084;;;;;;
263,125;0,0037;;;;;;
263,75;0,0011;;;;;;
264,375;0,003;;;;;;
265;0,006;;;;;;
265,625;0,0063;;;;;;
266,25;0,0046;;;;;;
266,875;0,0005;;;;;;
267,5;0,002;;;;;;
268,125;0,0028;;;;;;
268,75;0,0029;;;;;;
269,375;0,0033;;;;;;
270;0,0013;;;;;;
270,625;0,0067;;;;;;
271,25;0,0088;;;;;;
271,875;0,0062;;;;;;
272,5;0,0045;;;;;;
273,125;0,0006;;;;;;
273,75;0,0082;;;;;;
274,375;0,0082;;;;;;
275;0,0069;;;;;;
275,625;0,0023;;;;;;
276,25;0,0269;;;;;;
276,875;0,0399;;;;;;
277,5;0,0178;;;;;;
278,125;0,0031;;;;;;
278,75;0,0018;;;;;;
279,375;0,006;;;;;;
280;0,0027;;;;;;
280,625;0,0031;;;;;;
281,25;0,0053;;;;;;
281,875;0,0076;;;;;;
282,5;0,0067;;;;;;
283,125;0,004;;;;;;
283,75;0,0034;;;;;;
284,375;0,0057;;;;;;
285;0,0047;;;;;;
285,625;0,0061;;;;;;
286,25;0,0047;;;;;;
286,875;0,0026;;;;;;
287,5;0,004;;;;;;
288,125;0,0038;;;;;;
288,75;0,0033;;;;;;
289,375;0,0031;;;;;;
290;0,0017;;;;;;
290,625;0,0031;;;;;;
291,25;0,0066;;;;;;
291,875;0,0058;;;;;;
292,5;0,0045;;;;;;
293,125;0,0014;;;;;;
293,75;0,002;;;;;;
294,375;0,0008;;;;;;
295;0,0013;;;;;;
295,625;0,001;;;;;;
296,25;0,0015;;;;;;
296,875;0,0039;;;;;;
297,5;0,0044;;;;;;
298,125;0,0057;;;;;;
298,75;0,0051;;;;;;
299,375;0,0132;;;;;;
300;0,0078;;;;;;
300,625;0,0039;;;;;;
301,25;0,0138;;;;;;
301,875;0,0331;;;;;;
302,5;0,0219;;;;;;
303,125;0,0087;;;;;;
303,75;0,0076;;;;;;
304,375;0,0088;;;;;;
305;0,0082;;;;;;
305,625;0,003;;;;;;
306,25;0,0012;;;;;;
306,875;0,0056;;;;;;
307,5;0,0077;;;;;;
308,125;0,0053;;;;;;
308,75;0,0026;;;;;;
309,375;0,0028;;;;;;
310;0,0061;;;;;;
310,625;0,0052;;;;;;
311,25;0,0007;;;;;;
311,875;0,0021;;;;;;
312,5;0,002;;;;;;
313,125;0,0033;;;;;;
313,75;0,0004;;;;;;
314,375;0,0018;;;;;;
315;0,0013;;;;;;
315,625;0,001;;;;;;
316,25;0,0025;;;;;;
316,875;0,0024;;;;;;
317,5;0,0011;;;;;;
318,125;0,0025;;;;;;
318,75;0,0043;;;;;;
319,375;0,005;;;;;;
320;0,0052;;;;;;
320,625;0,0028;;;;;;
321,25;0,0024;;;;;;
321,875;0,003;;;;;;
322,5;0,0025;;;;;;
323,125;0,0039;;;;;;
323,75;0,0001;;;;;;
324,375;0,0052;;;;;;
325;0,003;;;;;;
325,625;0,0033;;;;;;
326,25;0,0028;;;;;;
326,875;0,0177;;;;;;
327,5;0,0158;;;;;;
328,125;0,0048;;;;;;
328,75;0,0034;;;;;;
329,375;0,0069;;;;;;
330;0,0059;;;;;;
330,625;0,0013;;;;;;
331,25;0,0005;;;;;;
331,875;0,0008;;;;;;
332,5;0,0027;;;;;;
333,125;0,0032;;;;;;
333,75;0,0028;;;;;;
334,375;0,0049;;;;;;
335;0,0073;;;;;;
335,625;0,0062;;;;;;
336,25;0,0023;;;;;;
336,875;0,0007;;;;;;
337,5;0,0008;;;;;;
338,125;0,0005;;;;;;
338,75;0,0013;;;;;;
339,375;0,001;;;;;;
340;0,0015;;;;;;
340,625;0,0015;;;;;;
341,25;0,0013;;;;;;
341,875;0,0018;;;;;;
342,5;0,001;;;;;;
343,125;0,0008;;;;;;
343,75;0,0028;;;;;;
344,375;0,0041;;;;;;
345;0,0055;;;;;;
345,625;0,0033;;;;;;
346,25;0,0044;;;;;;
346,875;0,0052;;;;;;
347,5;0,002;;;;;;
348,125;0,0023;;;;;;
348,75;0,0014;;;;;;
349,375;0,0047;;;;;;
350;0,0052;;;;;;
350,625;0,0047;;;;;;
351,25;0,0008;;;;;;
351,875;0,0144;;;;;;
352,5;0,0161;;;;;;
353,125;0,0051;;;;;;
353,75;0,0028;;;;;;
354,375;0,0045;;;;;;
355;0,0049;;;;;;
355,625;0,0032;;;;;;
356,25;0,0023;;;;;;
356,875;0,0033;;;;;;
357,5;0,0037;;;;;;
358,125;0,0055;;;;;;
358,75;0,0069;;;;;;
359,375;0,0065;;;;;;
360;0,0088;;;;;;
360,625;0,0081;;;;;;
361,25;0,0055;;;;;;
361,875;0,0003;;;;;;
362,5;0,0028;;;;;;
363,125;0,0018;;;;;;
363,75;0,0007;;;;;;
364,375;0,0015;;;;;;
365;0,0007;;;;;;
365,625;0,0047;;;;;;
366,25;0,0035;;;;;;
366,875;0,0015;;;;;;
367,5;0,0034;;;;;;
368,125;0,0073;;;;;;
368,75;0,0055;;;;;;
369,375;0,0023;;;;;;
370;0,0059;;;;;;
370,625;0,0072;;;;;;
371,25;0,0115;;;;;;
371,875;0,0107;;;;;;
372,5;0,0065;;;;;;
373,125;0,0015;;;;;;
373,75;0,0027;;;;;;
374,375;0,0097;;;;;;
375;0,0148;;;;;;
375,625;0,0087;;;;;;
376,25;0,0022;;;;;;
376,875;0,0223;;;;;;
377,5;0,0321;;;;;;
378,125;0,0136;;;;;;
378,75;0,0081;;;;;;
379,375;0,0079;;;;;;
380;0,0041;;;;;;
380,625;0,0059;;;;;;
381,25;0,0035;;;;;;
381,875;0,0039;;;;;;
382,5;0,0036;;;;;;
383,125;0,0048;;;;;;
383,75;0,0113;;;;;;
384,375;0,0116;;;;;;
385;0,0122;;;;;;
385,625;0,0086;;;;;;
386,25;0,0097;;;;;;
386,875;0,0028;;;;;;
387,5;0,0052;;;;;;
388,125;0,0044;;;;;;
388,75;0,0029;;;;;;
389,375;0,0021;;;;;;
390;0,0028;;;;;;
390,625;0,0038;;;;;;
391,25;0,0042;;;;;;
391,875;0,0024;;;;;;
392,5;0,0079;;;;;;
393,125;0,0132;;;;;;
393,75;0,0086;;;;;;
394,375;0,0047;;;;;;
395;0,0159;;;;;;
395,625;0,013;;;;;;
396,25;0,0066;;;;;;
396,875;0,0085;;;;;;
397,5;0,0099;;;;;;
398,125;0,0041;;;;;;
398,75;0,0067;;;;;;
399,375;0,0016;;;;;;
400;0,007;;;;;;
400,625;0,006;;;;;;
401,25;0,0042;;;;;;
401,875;0,0041;;;;;;
402,5;0,0132;;;;;;
403,125;0,0107;;;;;;
403,75;0,0042;;;;;;
404,375;0,0029;;;;;;
405;0,0032;;;;;;
405,625;0,0041;;;;;;
406,25;0,0033;;;;;;
406,875;0,0035;;;;;;
407,5;0,0039;;;;;;
408,125;0,0052;;;;;;
408,75;0,0059;;;;;;
409,375;0,0043;;;;;;
410;0,0088;;;;;;
410,625;0,0145;;;;;;
411,25;0,0172;;;;;;
411,875;0,0093;;;;;;
412,5;0,0043;;;;;;
413,125;0,0068;;;;;;
413,75;0,0033;;;;;;
414,375;0,0005;;;;;;
415;0,0006;;;;;;
415,625;0,0037;;;;;;
416,25;0,0053;;;;;;
416,875;0,0044;;;;;;
417,5;0,0041;;;;;;
418,125;0,0032;;;;;;
418,75;0,0059;;;;;;
419,375;0,0055;;;;;;
420;0,0033;;;;;;
420,625;0,007;;;;;;
421,25;0,007;;;;;;
421,875;0,0069;;;;;;
422,5;0,0064;;;;;;
423,125;0,0058;;;;;;
423,75;0,0031;;;;;;
424,375;0,003;;;;;;
425;0,0041;;;;;;
425,625;0,0044;;;;;;
426,25;0,0058;;;;;;
426,875;0,0028;;;;;;
427,5;0,0165;;;;;;
428,125;0,017;;;;;;
428,75;0,0083;;;;;;
429,375;0,005;;;;;;
430;0,0054;;;;;;
430,625;0,0037;;;;;;
431,25;0,0006;;;;;;
431,875;0,0031;;;;;;
432,5;0,0025;;;;;;
433,125;0,0036;;;;;;
433,75;0,0065;;;;;;
434,375;0,0072;;;;;;
435;0,0043;;;;;;
435,625;0,0019;;;;;;
436,25;0,0046;;;;;;
436,875;0,0036;;;;;;
437,5;0,0024;;;;;;
438,125;0,0019;;;;;;
438,75;0,0014;;;;;;
439,375;0,005;;;;;;
440;0,0055;;;;;;
440,625;0,0027;;;;;;
441,25;0,0018;;;;;;
441,875;0,0005;;;;;;
442,5;0,0023;;;;;;
443,125;0,0018;;;;;;
443,75;0,0008;;;;;;
444,375;0,0034;;;;;;
445;0,007;;;;;;
445,625;0,0096;;;;;;
446,25;0,0071;;;;;;
446,875;0,0054;;;;;;
447,5;0,0056;;;;;;
448,125;0,0058;;;;;;
448,75;0,0024;;;;;;
449,375;0,0028;;;;;;
450;0,002;;;;;;
450,625;0,0083;;;;;;
451,25;0,0091;;;;;;
451,875;0,0011;;;;;;
452,5;0,0109;;;;;;
453,125;0,0135;;;;;;
453,75;0,0088;;;;;;
454,375;0,0103;;;;;;
455;0,0101;;;;;;
455,625;0,0067;;;;;;
456,25;0,0037;;;;;;
456,875;0,006;;;;;;
457,5;0,0066;;;;;;
458,125;0,0088;;;;;;
458,75;0,006;;;;;;
459,375;0,0063;;;;;;
460;0,0056;;;;;;
460,625;0,0079;;;;;;
461,25;0,0078;;;;;;
461,875;0,0092;;;;;;
462,5;0,0074;;;;;;
463,125;0,0009;;;;;;
463,75;0,0042;;;;;;
464,375;0,0034;;;;;;
465;0,0033;;;;;;
465,625;0,0019;;;;;;
466,25;0,0008;;;;;;
466,875;0,0039;;;;;;
467,5;0,0039;;;;;;
468,125;0,003;;;;;;
468,75;0,0051;;;;;;
469,375;0,0074;;;;;;
470;0,0075;;;;;;
470,625;0,0099;;;;;;
471,25;0,0099;;;;;;
471,875;0,0072;;;;;;
472,5;0,0043;;;;;;
473,125;0,0033;;;;;;
473,75;0,0019;;;;;;
474,375;0,004;;;;;;
475;0,0051;;;;;;
475,625;0,0077;;;;;;
476,25;0,0056;;;;;;
476,875;0,0003;;;;;;
477,5;0,0046;;;;;;
478,125;0,0059;;;;;;
478,75;0,0065;;;;;;
479,375;0,0011;;;;;;
480;0,0022;;;;;;
480,625;0,0076;;;;;;
481,25;0,0062;;;;;;
481,875;0,0046;;;;;;
482,5;0,0048;;;;;;
483,125;0,0122;;;;;;
483,75;0,0081;;;;;;
484,375;0,0034;;;;;;
485;0,0083;;;;;;
485,625;0,0125;;;;;;
486,25;0,0074;;;;;;
486,875;0,0057;;;;;;
487,5;0,0083;;;;;;
488,125;0,0048;;;;;;
488,75;0,0098;;;;;;
489,375;0,0069;;;;;;
490;0,0085;;;;;;
490,625;0,0036;;;;;;
491,25;0,0072;;;;;;
491,875;0,0049;;;;;;
492,5;0,0079;;;;;;
493,125;0,007;;;;;;
493,75;0,0082;;;;;;
494,375;0,0118;;;;;;
495;0,005;;;;;;
495,625;0,0036;;;;;;
496,25;0,0044;;;;;;
496,875;0,0043;;;;;;
497,5;0,0048;;;;;;
498,125;0,0049;;;;;;
498,75;0,0031;;;;;;
499,375;0,0067;;;;;;
500;0,0025;;;;;;
500,625;0,0031;;;;;;
501,25;0,0094;;;;;;
501,875;0,0048;;;;;;
502,5;0,007;;;;;;
503,125;0,0079;;;;;;
503,75;0,0035;;;;;;
504,375;0,0017;;;;;;
505;0,0004;;;;;;
505,625;0,0031;;;;;;
506,25;0,0051;;;;;;
506,875;0,004;;;;;;
507,5;0,0034;;;;;;
508,125;0,0045;;;;;;
508,75;0,0044;;;;;;
509,375;0,0038;;;;;;
510;0,0057;;;;;;
510,625;0,0111;;;;;;
511,25;0,0121;;;;;;
511,875;0,0092;;;;;;
512,5;0,0058;;;;;;
513,125;0,0012;;;;;;
513,75;0,0046;;;;;;
514,375;0,0042;;;;;;
515;0,0065;;;;;;
515,625;0,0044;;;;;;
516,25;0,002;;;;;;
516,875;0,0028;;;;;;
517,5;0,0021;;;;;;
518,125;0,0021;;;;;;
518,75;0,0091;;;;;;
519,375;0,013;;;;;;
520;0,0075;;;;;;
520,625;0,0013;;;;;;
521,25;0,0026;;;;;;
521,875;0,001;;;;;;
522,5;0,0034;;;;;;
523,125;0,0039;;;;;;
523,75;0,0012;;;;;;
524,375;0,0022;;;;;;
525;0,0014;;;;;;
525,625;0,0045;;;;;;
526,25;0,0038;;;;;;
526,875;0,0018;;;;;;
527,5;0,004;;;;;;
528,125;0,0082;;;;;;
528,75;0,0086;;;;;;
529,375;0,0051;;;;;;
530;0,0025;;;;;;
530,625;0,0028;;;;;;
531,25;0,0015;;;;;;
531,875;0,0031;;;;;;
532,5;0,0052;;;;;;
533,125;0,0036;;;;;;
533,75;0,0064;;;;;;
534,375;0,0067;;;;;;
535;0,0043;;;;;;
535,625;0,0079;;;;;;
536,25;0,0124;;;;;;
536,875;0,0135;;;;;;
537,5;0,0107;;;;;;
538,125;0,0047;;;;;;
538,75;0,0012;;;;;;
539,375;0,0021;;;;;;
540;0,0046;;;;;;
540,625;0,0055;;;;;;
541,25;0,0042;;;;;;
541,875;0,0047;;;;;;
542,5;0,0041;;;;;;
543,125;0,0025;;;;;;
543,75;0,0022;;;;;;
544,375;0,0053;;;;;;
545;0,0046;;;;;;
545,625;0,0024;;;;;;
546,25;0,0044;;;;;;
546,875;0,0021;;;;;;
547,5;0,0011;;;;;;
548,125;0,0035;;;;;;
548,75;0,0064;;;;;;
549,375;0,0047;;;;;;
550;0,0012;;;;;;
550,625;0,0043;;;;;;
551,25;0,005;;;;;;
551,875;0,0026;;;;;;
552,5;0,0013;;;;;;
553,125;0,0055;;;;;;
553,75;0,0111;;;;;;
554,375;0,0101;;;;;;
555;0,0065;;;;;;
555,625;0,0028;;;;;;
556,25;0,0013;;;;;;
556,875;0,0006;;;;;;
557,5;0,0013;;;;;;
558,125;0,0032;;;;;;
558,75;0,0051;;;;;;
559,375;0,0039;;;;;;
560;0,0014;;;;;;
560,625;0,0033;;;;;;
561,25;0,006;;;;;;
561,875;0,0068;;;;;;
562,5;0,0059;;;;;;
563,125;0,0015;;;;;;
563,75;0,0015;;;;;;
564,375;0,0033;;;;;;
565;0,0025;;;;;;
565,625;0,0022;;;;;;
566,25;0,0018;;;;;;
566,875;0,002;;;;;;
567,5;0,0009;;;;;;
568,125;0,0012;;;;;;
568,75;0,0026;;;;;;
569,375;0,0024;;;;;;
570;0,0019;;;;;;
570,625;0,0023;;;;;;
571,25;0,0038;;;;;;
571,875;0,0019;;;;;;
572,5;0,0003;;;;;;
573,125;0,0015;;;;;;
573,75;0,0022;;;;;;
574,375;0,0021;;;;;;
575;0,0007;;;;;;
575,625;0,0015;;;;;;
576,25;0,0024;;;;;;
576,875;0,0035;;;;;;
577,5;0,0021;;;;;;
578,125;0,0019;;;;;;
578,75;0,004;;;;;;
579,375;0,0025;;;;;;
580;0,0008;;;;;;
580,625;0,0006;;;;;;
581,25;0,0008;;;;;;
581,875;0,0018;;;;;;
582,5;0,002;;;;;;
583,125;0,0018;;;;;;
583,75;0,0018;;;;;;
584,375;0,0005;;;;;;
585;0,0021;;;;;;
585,625;0,0018;;;;;;
586,25;0,0012;;;;;;
586,875;0,0026;;;;;;
587,5;0,003;;;;;;
588,125;0,0022;;;;;;
588,75;0,0032;;;;;;
589,375;0,0023;;;;;;
590;0,0039;;;;;;
590,625;0,0018;;;;;;
591,25;0,001;;;;;;
591,875;0,0004;;;;;;
592,5;0,001;;;;;;
593,125;0,0015;;;;;;
593,75;0,0017;;;;;;
594,375;0,0041;;;;;;
